Lepirudin,Dabigatran etexilate,2
Lepirudin,Drotrecogin alfa,2
Lepirudin,Zinc acetate,2
Lepirudin,Human C1-esterase inhibitor,2
Lepirudin,Copper,2
Lepirudin,Enoxaparin,2
Lepirudin,Coagulation Factor IX Human,2
Lepirudin,Menadione,2
Lepirudin,Thrombomodulin Alfa,2
Lepirudin,Zinc,2
Lepirudin,Turoctocog alfa,2
Lepirudin,Conestat alfa,2
Lepirudin,Coagulation Factor IX (Recombinant),2
Lepirudin,Anti-inhibitor coagulant complex,2
Lepirudin,Antithrombin Alfa,2
Lepirudin,Argatroban,2
Lepirudin,Turoctocog alfa pegol,2
Lepirudin,Bivalirudin,2
Lepirudin,Proflavine,2
Lepirudin,Kappadione,2
Lepirudin,Ximelagatran,2
Cetuximab,Neratinib,1
Cetuximab,Zinc acetate,2
Cetuximab,Gemtuzumab ozogamicin,1
Cetuximab,Dacomitinib,1
Cetuximab,Sutimlimab,1
Cetuximab,Necitumumab,1
Cetuximab,Brigatinib,1
Cetuximab,Catumaxomab,1
Cetuximab,Mobocertinib,1
Cetuximab,Panitumumab,1
Cetuximab,Zinc,2
Cetuximab,Alefacept,1
Cetuximab,Conestat alfa,1
Cetuximab,Bevacizumab,3
Cetuximab,Osimertinib,1
Cetuximab,Amivantamab,2
Cetuximab,Erlotinib,1
Cetuximab,Benralizumab,1
Cetuximab,Zinc chloride,2
Cetuximab,Foreskin keratinocyte (neonatal),1
Cetuximab,Human C1-esterase inhibitor,1
Cetuximab,Sarilumab,1
Cetuximab,Palivizumab,3
Cetuximab,Copper,2
Cetuximab,"Zinc sulfate, unspecified form",2
Cetuximab,Fostamatinib,1
Cetuximab,Human immunoglobulin G,1
Cetuximab,Vandetanib,1
Cetuximab,Gefitinib,1
Cetuximab,Zanubrutinib,1
Cetuximab,Alemtuzumab,1
Cetuximab,Afatinib,1
Cetuximab,Etanercept,1
Cetuximab,Lidocaine,1
Cetuximab,Lapatinib,1
Denileukin diftitox,Duvelisib,1
Denileukin diftitox,Tremelimumab,1
Denileukin diftitox,Pentostatin,2
Denileukin diftitox,Acetylcysteine,1
Denileukin diftitox,Abatacept,1
Denileukin diftitox,Mosunetuzumab,1
Denileukin diftitox,Tofacitinib,2
Denileukin diftitox,Ipilimumab,1
Denileukin diftitox,Pazopanib,1
Denileukin diftitox,Catumaxomab,1
Denileukin diftitox,Baricitinib,2
Denileukin diftitox,Copanlisib,1
Denileukin diftitox,Cladribine,1
Denileukin diftitox,Dipyridamole,2
Denileukin diftitox,Mesalazine,1
Denileukin diftitox,Arsenic trioxide,1
Denileukin diftitox,Nintedanib,1
Denileukin diftitox,Teplizumab,1
Denileukin diftitox,Aldesleukin,4
Denileukin diftitox,Dasatinib,1
Denileukin diftitox,Blinatumomab,1
Denileukin diftitox,Fostamatinib,3
Denileukin diftitox,Acetylsalicylic acid,1
